Degree,Image Index
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5901.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5911.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5921.TIF
90.0, _Campo220512-Pampulha_0002SET_0000_DJI_6201.TIF
90.0, _Campo220512-Pampulha_0002SET_0000_DJI_6211.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6221.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6231.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6241.TIF
90.0, _Campo220512-Pampulha_0002SET_0000_DJI_6251.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6261.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6271.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6281.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6291.TIF
90.0, _Campo220512-Pampulha_0002SET_0000_DJI_6301.TIF
90.0, _Campo220512-Pampulha_0002SET_0000_DJI_6311.TIF
90.0, _Campo220512-Pampulha_0002SET_0000_DJI_6321.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6331.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6341.TIF
90.0, _Campo220512-Pampulha_0002SET_0000_DJI_6351.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6361.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6371.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6381.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6391.TIF
90.0, _Campo220512-Pampulha_0002SET_0000_DJI_6401.TIF
90.0, _Campo220512-Pampulha_0002SET_0000_DJI_6411.TIF
90.0, _Campo220512-Pampulha_0002SET_0000_DJI_6421.TIF
90.0, _Campo220512-Pampulha_0002SET_0000_DJI_6431.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6441.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6451.TIF
90.0, _Campo220512-Pampulha_0002SET_0000_DJI_6461.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6471.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6481.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6491.TIF
90.0, _Campo220512-Pampulha_0002SET_0000_DJI_6501.TIF
90.0, _Campo220512-Pampulha_0002SET_0000_DJI_6511.TIF
90.0, _Campo220512-Pampulha_0002SET_0000_DJI_6521.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6531.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6541.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6551.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6561.TIF
90.0, _Campo220512-Pampulha_0002SET_0000_DJI_6571.TIF
90.0, _Campo220512-Pampulha_0002SET_0000_DJI_6581.TIF
90.0, _Campo220512-Pampulha_0002SET_0000_DJI_6591.TIF
90.0, _Campo220512-Pampulha_0002SET_0000_DJI_6601.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6611.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6621.TIF
90.0, _Campo220512-Pampulha_0002SET_0000_DJI_6631.TIF
89.9, _Campo220512-Pampulha_0002SET_0000_DJI_6641.TIF
